SoftwareID;SeedObjectCount;CallGraphTime_ms;CryptoAnalysisTime_ms;CallGraphReachableMethods;CallGraphReachableMethods_ActiveBodies;DataflowVisitedMethod;Timeouts;BoomerangQueries;Timeouts_BoomerangQueries;ConstraintError_sum;ConstraintError_AlgorithmParameters;ConstraintError_Cipher;ConstraintError_DHGenParameterSpec;ConstraintError_DHParameterSpec;ConstraintError_DSAGenParameterSpec;ConstraintError_DSAParameterSpec;ConstraintError_GCMParameterSpec;ConstraintError_HMACParameterSpec;ConstraintError_IvParameterSpec;ConstraintError_KeyGenerator;ConstraintError_KeyPair;ConstraintError_KeyPairGenerator;ConstraintError_KeyStore;ConstraintError_Mac;ConstraintError_MessageDigest;ConstraintError_PBEKeySpec;ConstraintError_PBEParameterSpec;ConstraintError_RSAKeyGenParameterSpec;ConstraintError_SecretKey;ConstraintError_SecretKeyFactory;ConstraintError_SecretKeySpec;ConstraintError_SecureRandom;ConstraintError_Signature;TypestateError_sum;TypestateError_AlgorithmParameters;TypestateError_Cipher;TypestateError_DHGenParameterSpec;TypestateError_DHParameterSpec;TypestateError_DSAGenParameterSpec;TypestateError_DSAParameterSpec;TypestateError_GCMParameterSpec;TypestateError_HMACParameterSpec;TypestateError_IvParameterSpec;TypestateError_KeyGenerator;TypestateError_KeyPair;TypestateError_KeyPairGenerator;TypestateError_KeyStore;TypestateError_Mac;TypestateError_MessageDigest;TypestateError_PBEKeySpec;TypestateError_PBEParameterSpec;TypestateError_RSAKeyGenParameterSpec;TypestateError_SecretKey;TypestateError_SecretKeyFactory;TypestateError_SecretKeySpec;TypestateError_SecureRandom;TypestateError_Signature;RequiredPredicateError_sum;RequiredPredicateError_AlgorithmParameters;RequiredPredicateError_Cipher;RequiredPredicateError_DHGenParameterSpec;RequiredPredicateError_DHParameterSpec;RequiredPredicateError_DSAGenParameterSpec;RequiredPredicateError_DSAParameterSpec;RequiredPredicateError_GCMParameterSpec;RequiredPredicateError_HMACParameterSpec;RequiredPredicateError_IvParameterSpec;RequiredPredicateError_KeyGenerator;RequiredPredicateError_KeyPair;RequiredPredicateError_KeyPairGenerator;RequiredPredicateError_KeyStore;RequiredPredicateError_Mac;RequiredPredicateError_MessageDigest;RequiredPredicateError_PBEKeySpec;RequiredPredicateError_PBEParameterSpec;RequiredPredicateError_RSAKeyGenParameterSpec;RequiredPredicateError_SecretKey;RequiredPredicateError_SecretKeyFactory;RequiredPredicateError_SecretKeySpec;RequiredPredicateError_SecureRandom;RequiredPredicateError_Signature;IncompleteOperationError_sum;IncompleteOperationError_AlgorithmParameters;IncompleteOperationError_Cipher;IncompleteOperationError_DHGenParameterSpec;IncompleteOperationError_DHParameterSpec;IncompleteOperationError_DSAGenParameterSpec;IncompleteOperationError_DSAParameterSpec;IncompleteOperationError_GCMParameterSpec;IncompleteOperationError_HMACParameterSpec;IncompleteOperationError_IvParameterSpec;IncompleteOperationError_KeyGenerator;IncompleteOperationError_KeyPair;IncompleteOperationError_KeyPairGenerator;IncompleteOperationError_KeyStore;IncompleteOperationError_Mac;IncompleteOperationError_MessageDigest;IncompleteOperationError_PBEKeySpec;IncompleteOperationError_PBEParameterSpec;IncompleteOperationError_RSAKeyGenParameterSpec;IncompleteOperationError_SecretKey;IncompleteOperationError_SecretKeyFactory;IncompleteOperationError_SecretKeySpec;IncompleteOperationError_SecureRandom;IncompleteOperationError_Signature;ImpreciseValueExtractionError_sum;ImpreciseValueExtractionError_AlgorithmParameters;ImpreciseValueExtractionError_Cipher;ImpreciseValueExtractionError_DHGenParameterSpec;ImpreciseValueExtractionError_DHParameterSpec;ImpreciseValueExtractionError_DSAGenParameterSpec;ImpreciseValueExtractionError_DSAParameterSpec;ImpreciseValueExtractionError_GCMParameterSpec;ImpreciseValueExtractionError_HMACParameterSpec;ImpreciseValueExtractionError_IvParameterSpec;ImpreciseValueExtractionError_KeyGenerator;ImpreciseValueExtractionError_KeyPair;ImpreciseValueExtractionError_KeyPairGenerator;ImpreciseValueExtractionError_KeyStore;ImpreciseValueExtractionError_Mac;ImpreciseValueExtractionError_MessageDigest;ImpreciseValueExtractionError_PBEKeySpec;ImpreciseValueExtractionError_PBEParameterSpec;ImpreciseValueExtractionError_RSAKeyGenParameterSpec;ImpreciseValueExtractionError_SecretKey;ImpreciseValueExtractionError_SecretKeyFactory;ImpreciseValueExtractionError_SecretKeySpec;ImpreciseValueExtractionError_SecureRandom;ImpreciseValueExtractionError_Signature;ForbiddenMethodError_sum;ForbiddenMethodError_AlgorithmParameters;ForbiddenMethodError_Cipher;ForbiddenMethodError_DHGenParameterSpec;ForbiddenMethodError_DHParameterSpec;ForbiddenMethodError_DSAGenParameterSpec;ForbiddenMethodError_DSAParameterSpec;ForbiddenMethodError_GCMParameterSpec;ForbiddenMethodError_HMACParameterSpec;ForbiddenMethodError_IvParameterSpec;ForbiddenMethodError_KeyGenerator;ForbiddenMethodError_KeyPair;ForbiddenMethodError_KeyPairGenerator;ForbiddenMethodError_KeyStore;ForbiddenMethodError_Mac;ForbiddenMethodError_MessageDigest;ForbiddenMethodError_PBEKeySpec;ForbiddenMethodError_PBEParameterSpec;ForbiddenMethodError_RSAKeyGenParameterSpec;ForbiddenMethodError_SecretKey;ForbiddenMethodError_SecretKeyFactory;ForbiddenMethodError_SecretKeySpec;ForbiddenMethodError_SecureRandom;ForbiddenMethodError_Signature
com.aliyun-aliyun-java-sdk-core-inner-3.0.2;12;1813;2619;1792;980;9;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun-aliyun-java-sdk-fc-1.1.10;7;2165;1801;3176;2045;7;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun-aliyun-mqs-1.0.3;40;4155;857159;4698;3318;127;1;0;0;9;;5;;;;;;;;;;;;;4;;;;;;;;;8;;2;;;;;;;;;;;;;6;;;;;;;;;16;;8;;;;;;;;;;;;;;;;;;;8;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun-aliyun-sdk-mqs-1.0.1;41;3811;916790;4592;3259;127;1;2;0;9;;5;;;;;;;;;;;;;4;;;;;;;;;8;;2;;;;;;;;;;;;;6;;;;;;;;;16;;8;;;;;;;;;;;;;;;;;;;8;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.dpa-alisdk-util-1.1.1;8;1522;1006;1371;641;6;0;0;0;2;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.dts-drcnet-1.1.6;15;5689;218895;6291;4764;3;4;4;0;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;1;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.mns-aliyun-sdk-mns-1.1.8.4;43;5705;1103683;7263;5394;98;2;2;0;10;;5;;;;;;;;;;;;;4;;;;;;;;1;8;;2;;;;;;;;;;;;;6;;;;;;;;;12;;8;;;;;;;;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.mqs-aliyun-sdk-mqs-1.0.3;40;4683;856137;4698;3318;127;1;0;0;9;;5;;;;;;;;;;;;;4;;;;;;;;;8;;2;;;;;;;;;;;;;6;;;;;;;;;16;;8;;;;;;;;;;;;;;;;;;;8;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.oas-aliyun-oas-0.2.5;46;5950;1048872;8701;6754;182;1;0;0;9;;5;;;;;;;;;;;;;4;;;;;;;;;10;;2;;;;;;;;;;;;;8;;;;;;;;;12;;8;;;;;;;;;;;;;;;;;;;4;;;6;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.openservices-aliyun-cms-0.2.4;16;4510;1643837;4633;2781;161;0;2;0;3;;;;;;;;;;;;;;;3;;;;;;;;;2;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.openservices-aliyun-log-android-sdk-0.3.1;7;4506;1513;2068;1044;7;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.openservices-aliyun-openservices-sls-v0.3-0.1.0;27;6450;707811;7986;6313;46;1;2;0;6;;2;;;;;;;;;;;;;4;;;;;;;;;6;;2;;;;;;;;;;;;;4;;;;;;;;;6;;5;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.openservices-aliyun-sls-0.4.1;27;6040;1209575;8086;6414;46;1;2;0;6;;2;;;;;;;;;;;;;4;;;;;;;;;6;;2;;;;;;;;;;;;;4;;;;;;;;;6;;5;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.openservices-log-loghub-producer-0.1.13;41;7469;1019965;9837;7865;140;1;2;0;10;;5;;;;;;;;;;;;;5;;;;;;;;;9;;2;;;;;;;;;;;;;7;;;;;;;;;18;;8;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.openservices-ons-sasl-client-0.1;5;1128;1305;1280;646;19;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.oss-aliyun-sdk-oss-private-2.3.1;40;8460;3432684;6730;5209;213;1;0;0;9;;5;;;;;;;;;;;;;4;;;;;;;;;8;;2;;;;;;;;;;;;;6;;;;;;;;;12;;8;;;;;;;;;;;;;;;;;;;4;;;7;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aliyun.relay.auth-auth-client-1.0.0;5;6387;4010;4704;3089;19;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.alkacon-alkacon-simapi-1.0.3;1;3278;2170;5251;3227;7;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.allocab-jGmap-1.2.3;4;5220;53476;6731;5466;6;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.almende.eve-eve-algorithms-dht-3.1.1;3;6284;3626;8723;7367;1;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amap.api-map2d-5.2.0;30;6747;137775;5186;3635;53;1;0;0;3;;;;;;;;;;;;;;;3;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;14;;5;;;;;;;6;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amap.api-navi-solo-1.9.4;53;3284;175100;5113;3441;68;1;0;0;3;;;;;;;;;;;;;;;3;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;26;;11;;;;;;;10;;;;;;;;;;;;5;;;6;;6;;;;;;;;;;;;;;;;;;;;;;11;;10;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazon.alexa-alexa-skills-kit-1.8.1;2;5089;104588;9120;7587;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazon.device.tools.build-builder-1.3.1;14;9164;1326499;12590;10594;14;8;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
com.amazon.device.tools.build-gradle-1.3.1;2;59407;20509;31310;28782;1;1;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-amazon-kinesis-aggregator-1.0.3;1;4461;5083;6700;5525;26;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-aws-android-sdk-cognitoidentityprovider-2.6.26;30;3787;77664;7537;6301;34;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;6;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-aws-android-sdk-core-2.6.26;13;2658;3156;4874;3430;28;0;0;0;2;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-aws-android-sdk-ec2-2.6.26;9;8667;7369;14876;13929;18;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-aws-android-sdk-sns-2.6.26;2;5113;3000;4294;3080;8;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-aws-android-sdk-sqs-2.6.26;5;2220;2326;3178;2223;7;0;0;0;2;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-aws-encryption-sdk-java-1.3.2;47;3813;2793216;4847;3891;110;13;4;2;1;;;;;;;;;;;;1;;;;;;;;;;;;4;;;;;;;;;;;;;;;3;;;;;;;;1;6;;2;;;;;3;;;;;;;;;;;;;;;;1;12;;;;;;;;;;;;;;;5;;;;;;;;7;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-aws-iot-device-sdk-java-1.1.1;13;7440;249559;8433;6993;29;0;3;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;5;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-aws-iot-device-sdk-java-samples-1.1.1;15;8073;272320;8369;6904;23;1;3;2;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-aws-java-sdk-test-utils-1.11.370;2;9770;124058;14199;12190;2;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-aws-xray-recorder-sdk-core-1.3.1;1;6412;3356;9787;8287;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws-elasticache-java-cluster-client-1.1.1;1;2301;6716;3472;2393;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amazonaws.s3-jets3t-0.5.0;25;5970;860297;7098;5248;32;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;6;;2;;;;;;;1;;;;;;;1;1;;;;1;;;5;;4;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amdocs.zusammen-zusammen-commons-db-impl-1.0.1;10;11538;98489;15859;13421;15;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amirkhawaja-ksuid-1.0.0;1;2525;606;1199;581;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amirkhawaja-redisrqs-java-1.0.2;1;3078;2433;7838;6246;1;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amplitude-android-sdk-2.18.1;1;1780;767;1870;996;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amysta.jclouds-jclouds-core-2.0.1;10;12012;2288503;14932;12543;54;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;;;;;;;;;2;;;1;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amysta.jclouds.api-docker-2.0.1;16;14927;440873;17466;15057;88;0;0;0;4;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amysta.jclouds.api-oauth-2.0.1;5;5560;262404;8477;6886;8;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amysta.jclouds.api-openstack-swift-2.0.1;4;8914;124819;12529;10457;6;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amysta.jclouds.api-route53-2.0.1;4;8566;4446;11184;9181;5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.amysta.jclouds.api-sts-2.0.1;6;9625;129472;11769;9735;7;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.android.tools-sdk-common-25.3.0;7;10518;390507;14597;11978;3;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.android.tools.analytics-library-shared-25.3.0;3;8654;12259;11343;9507;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.android.tools.build-gradle-2.3.0;26;203425;1759318;56595;53447;30;8;0;0;3;;;;;;;;;;;;;;;3;;;;;;;;;5;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.android.tools.build-gradle-core-2.3.0;32;351467;1455624;66938;63561;36;8;0;0;3;;;;;;;;;;;;;;;3;;;;;;;;;7;;;;;;;;;;;;1;1;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;1;;3;;;;;;;;;4;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aoindustries-ao-credit-cards-usaepay-1.0.3;3;2267;4228;1599;783;23;0;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aoindustries-ao-dao-base-1.0.3;3;1620;6932;1496;730;3;1;0;0;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aoindustries-ao-io-unix-2.1.0;1;2208;6832;1686;808;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aoindustries-ao-lang-1.0.0;9;2070;48157;2977;1637;5;3;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
com.aoindustries-ao-web-page-1.1;1;2270;7973;1715;840;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
