Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;EmptyVector;ForwardQuery: (<org.python.core.ThreadState: void pushInitializingProxy(org.python.core.PyInstance)> $r5 = new Stack,$r5 (ThreadState.pushInitializingProxy) Value: new java.util.Stack);$r5 = new java.util.Stack;<org.python.core.ThreadState: void pushInitializingProxy(org.python.core.PyInstance)>;org.python.core.ThreadState;false;true;644990;114158;2839;4268;false;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)> $r12 = new Vector,$r12 (CachedJarsPackageManager.addZipEntry) Value: new java.util.Vector);$r12 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;false;12;98;8;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)> $r7 = new Vector,$r7 (ClassFile.<init>) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;601077;149396;2492;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)> $r13 = new Stack,$r13 (CodeCompiler.<init>) Value: new java.util.Stack);$r13 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;600474;179222;2662;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)> $r11 = new Vector,$r11 (CachedJarsPackageManager.addZipEntry) Value: new java.util.Vector);$r11 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;false;12;104;8;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.Code: java.util.Vector getActiveLocals()> $r2 = new Vector,$r2 (Code.getActiveLocals) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.python.compiler.Code: java.util.Vector getActiveLocals()>;org.python.compiler.Code;true;false;95;514;17;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)> $r8 = new Vector,$r8 (ScopeInfo.<init>) Value: new java.util.Vector);$r8 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;654304;165530;2891;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.PyCompoundCallable: void <init>()> $r1 = new Vector,$r1 (PyCompoundCallable.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.core.PyCompoundCallable: void <init>()>;org.python.core.PyCompoundCallable;false;true;603970;133568;2077;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)> $r9 = new Vector,$r9 (Code.<init>) Value: new java.util.Vector);$r9 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;600018;163151;2504;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;1988;1669;34;4268;true;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.PyJavaClass: java.lang.reflect.Field[] getAccessibleFields(java.lang.Class)> $r1 = new Vector,$r1 (PyJavaClass.getAccessibleFields) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.reflect.Field[] getAccessibleFields(java.lang.Class)>;org.python.core.PyJavaClass;false;false;51;247;13;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.LineNumberTable: void <init>(org.python.compiler.ConstantPool)> $r2 = new Vector,$r2 (LineNumberTable.<init>) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.python.compiler.LineNumberTable: void <init>(org.python.compiler.ConstantPool)>;org.python.compiler.LineNumberTable;false;true;609420;170602;2978;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.PyJavaClass: java.lang.Class[] getAccessibleInterfaces(java.lang.Class)> $r3 = new Vector,$r3 (PyJavaClass.getAccessibleInterfaces) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.Class[] getAccessibleInterfaces(java.lang.Class)>;org.python.core.PyJavaClass;false;false;52;257;13;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)> $r11 = new Stack,$r11 (CodeCompiler.<init>) Value: new java.util.Stack);$r11 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;604650;174142;2462;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)> $r10 = new Vector,$r10 (Code.<init>) Value: new java.util.Vector);$r10 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;603365;156123;2503;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.util.CommandLineOptions: void <init>()> $r1 = new Vector,$r1 (CommandLineOptions.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.util.CommandLineOptions: void <init>()>;org.python.util.CommandLineOptions;true;false;2294;2686;17;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)> $r8 = new Vector,$r8 (ClassFile.<init>) Value: new java.util.Vector);$r8 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;610315;159628;2481;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ScopeInfo: void cook(org.python.compiler.ScopeInfo,org.python.compiler.CompilationContext)> $r5 = new Vector,$r5 (ScopeInfo.cook) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void cook(org.python.compiler.ScopeInfo,org.python.compiler.CompilationContext)>;org.python.compiler.ScopeInfo;true;false;189;681;14;4268;false;false;0;0;
