Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@24691c5;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;false;false;3063;38828;0;0;1080;1446;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$KeySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$KeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2a136383;<java.util.HashMap$KeySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$KeySet;false;false;3031;101135;0;0;1088;1446;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedHashMap$LinkedKeySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/LinkedHashMap$LinkedKeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7a814310;<java.util.LinkedHashMap$LinkedKeySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.LinkedHashMap$LinkedKeySet;false;false;1157;15491;0;0;475;1446;0;
