QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<dacapo.xalan.XalanHarness$WorkQueue: void <init>(dacapo.xalan.XalanHarness)> r0._queue = $r2,r0 (XalanHarness$WorkQueue.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness$WorkQueue: java.lang.String pop()> $r6 = r0._queue,r0 (XalanHarness$WorkQueue.pop));false;518;false;true;152;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r23 = r0._workQueue,r0 (XalanHarness.iterate));false;2;false;true;150;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness$XalanWorker: void <init>(dacapo.xalan.XalanHarness,dacapo.xalan.XalanHarness$WorkQueue,int)> r0._queue = r2,r0 (XalanHarness$XalanWorker.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness$XalanWorker: void run()> $r15 = r0._queue,r0 (XalanHarness$XalanWorker.run));false;258;false;true;153;false;true;1;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workers = varReplacer1326,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void preIteration(java.lang.String)> r0._workers = $r8,r0 (XalanHarness.preIteration));false;1;false;true;237;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r9 = r0._workQueue,r0 (XalanHarness.iterate));BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = varReplacer1327,r0 (XalanHarness.<init>));false;43;false;true;213;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r10 = r0._workQueue,r0 (XalanHarness.iterate));false;4;false;true;237;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r24 = r0._workQueue,r0 (XalanHarness.iterate));BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));false;44;false;true;178;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = $r13,r0 (XalanHarness.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r19 = r0._workQueue,r0 (XalanHarness.iterate));false;2;false;true;180;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r19 = r0._workQueue,r0 (XalanHarness.iterate));BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = varReplacer1327,r0 (XalanHarness.<init>));false;44;false;true;175;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r13 = r0._workQueue,r0 (XalanHarness.iterate));BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = varReplacer1327,r0 (XalanHarness.<init>));false;37;false;true;153;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness$WorkQueue: void <init>(dacapo.xalan.XalanHarness)> r0._queue = $r2,r0 (XalanHarness$WorkQueue.<init>));BackwardQuery: (<dacapo.xalan.XalanHarness$WorkQueue: void push(java.lang.String)> $r2 = r0._queue,r0 (XalanHarness$WorkQueue.push));true;956;false;true;155;false;true;0;false
BackwardQuery: (<dacapo.xalan.XalanHarness: void iterate(java.lang.String)> $r15 = r0._workQueue,r0 (XalanHarness.iterate));BackwardQuery: (<dacapo.xalan.XalanHarness: void <init>(dacapo.parser.Config,java.io.File)> r0._workQueue = varReplacer1327,r0 (XalanHarness.<init>));false;37;false;true;153;false;true;0;false
