QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.KeyedHashSet: void expand()> r0.elements = $r4,r0 (KeyedHashSet.expand));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.KeyedHashSet: boolean add(org.eclipse.osgi.framework.internal.core.KeyedElement)> $r5 = r0.elements,r0 (KeyedHashSet.add));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.util.Headers: void add(java.lang.Object,java.lang.Object)> $i4 = r0.size,r0 (Headers.add));BackwardQuery: (<org.eclipse.osgi.framework.util.Headers: java.lang.Object remove(int)> r0.size = $i7,r0 (Headers.remove));true;88;false;true;509;false;true;0;false
BackwardQuery: (<org.eclipse.core.runtime.adaptor.EclipseLog: void openFile()> r0.writer = $r11,r0 (EclipseLog.openFile));BackwardQuery: (<org.eclipse.core.runtime.adaptor.EclipseLog: void log(org.eclipse.osgi.framework.log.FrameworkLogEntry)> $r12 = r0.writer,r0 (EclipseLog.log));true;-1;true;true;391;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.adaptor.FilePath: void <init>(java.io.File)> r0.flags = $b5,r0 (FilePath.<init>));BackwardQuery: (<org.eclipse.osgi.framework.adaptor.FilePath: void initialize(java.lang.String)> r0.flags = $b10,r0 (FilePath.initialize));true;65;false;true;388;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.AbstractBundle: void close()> r0.state = varReplacer4669,r0 (AbstractBundle.close));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleHost: void load()> $i0 = r0.state,r0 (BundleHost.load));false;3;false;true;385;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.internal.profile.DefaultProfileLogger: void logTime(int,java.lang.String,java.lang.String,java.lang.String)> $i3 = r0.timeEntriesIndex,r0 (DefaultProfileLogger.logTime));BackwardQuery: (<org.eclipse.osgi.internal.profile.DefaultProfileLogger: void makeLog()> r0.timeEntriesIndex = varReplacer1321,r0 (DefaultProfileLogger.makeLog));true;-1;true;true;395;false;true;0;false
BackwardQuery: (<org.osgi.framework.AdminPermission: void <init>(org.osgi.framework.Bundle,java.lang.String)> r0.filter = varReplacer3300,r0 (AdminPermission.<init>));BackwardQuery: (<org.osgi.framework.AdminPermission: boolean equals(java.lang.Object)> $r8 = r2.filter,r2 (AdminPermission.equals));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.eventmgr.EventManager: void <init>(java.lang.String)> r0.threadName = r1,r0 (EventManager.<init>));BackwardQuery: (<org.eclipse.osgi.framework.eventmgr.EventManager: org.eclipse.osgi.framework.eventmgr.EventManager$EventThread getEventThread()> $r4 = r0.threadName,r0 (EventManager.getEventThread));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.osgi.framework.AdminPermission: void <init>(java.lang.String,int)> r0.action_mask = i0,r0 (AdminPermission.<init>));BackwardQuery: (<org.osgi.framework.AdminPermission: java.lang.String getActions()> $i14 = r0.action_mask,r0 (AdminPermission.getActions));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_not(org.eclipse.osgi.framework.internal.core.FilterImpl)> $i2 = r0.pos,r0 (FilterImpl$Parser.parse_not));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.String parse_value()> r0.pos = $i8,r0 (FilterImpl$Parser.parse_value));true;90;false;true;457;false;true;3;false
