Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;88;492;14;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)> $r9 = new Vector,$r9 (ClassFile.<init>) Value: new java.util.Vector);$r9 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;613246;108065;1222;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)> $r9 = new Vector,$r9 (ScopeInfo.<init>) Value: new java.util.Vector);$r9 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;693705;102338;1216;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ArgListCompiler: void <init>()> $r3 = new Vector,$r3 (ArgListCompiler.<init>) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;1265707;103603;1219;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)> $r12 = new Stack,$r12 (CodeCompiler.<init>) Value: new java.util.Stack);$r12 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;606282;91686;1029;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.Module: void <init>(java.lang.String,java.lang.String,boolean)> $r5 = new Vector,$r5 (Module.<init>) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.python.compiler.Module: void <init>(java.lang.String,java.lang.String,boolean)>;org.python.compiler.Module;false;true;612431;116310;1176;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.parser.PythonGrammar: void <init>(org.python.parser.CharStream)> $r6 = new Vector,$r6 (PythonGrammar.<init>) Value: new java.util.Vector);$r6 = new java.util.Vector;<org.python.parser.PythonGrammar: void <init>(org.python.parser.CharStream)>;org.python.parser.PythonGrammar;true;false;117928;20009;286;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.parser.PythonGrammar: void <init>(org.python.parser.CharStream)> $r6 = new Vector,$r6 (PythonGrammar.<init>) Value: new java.util.Vector);$r6 = new java.util.Vector;<org.python.parser.PythonGrammar: void <init>(org.python.parser.CharStream)>;org.python.parser.PythonGrammar;true;false;117959;20009;286;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.ThreadState: void pushInitializingProxy(org.python.core.PyInstance)> $r5 = new Stack,$r5 (ThreadState.pushInitializingProxy) Value: new java.util.Stack);$r5 = new java.util.Stack;<org.python.core.ThreadState: void pushInitializingProxy(org.python.core.PyInstance)>;org.python.core.ThreadState;false;false;307;1574;51;4268;false;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.ThreadState: void pushInitializingProxy(org.python.core.PyInstance)> $r5 = new Stack,$r5 (ThreadState.pushInitializingProxy) Value: new java.util.Stack);$r5 = new java.util.Stack;<org.python.core.ThreadState: void pushInitializingProxy(org.python.core.PyInstance)>;org.python.core.ThreadState;false;false;308;1574;51;4268;false;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)> $r12 = new Vector,$r12 (CachedJarsPackageManager.addZipEntry) Value: new java.util.Vector);$r12 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;false;28;98;8;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)> $r12 = new Vector,$r12 (CachedJarsPackageManager.addZipEntry) Value: new java.util.Vector);$r12 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;false;28;98;8;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)> $r7 = new Vector,$r7 (ClassFile.<init>) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;629008;117288;1274;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)> $r13 = new Stack,$r13 (CodeCompiler.<init>) Value: new java.util.Stack);$r13 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;false;1215557;94719;1017;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)> $r13 = new Stack,$r13 (CodeCompiler.<init>) Value: new java.util.Stack);$r13 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;false;1215682;94719;1017;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)> $r11 = new Vector,$r11 (CachedJarsPackageManager.addZipEntry) Value: new java.util.Vector);$r11 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;false;12;104;8;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)> $r11 = new Vector,$r11 (CachedJarsPackageManager.addZipEntry) Value: new java.util.Vector);$r11 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;false;13;104;8;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.Code: java.util.Vector getActiveLocals()> $r2 = new Vector,$r2 (Code.getActiveLocals) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.python.compiler.Code: java.util.Vector getActiveLocals()>;org.python.compiler.Code;true;false;88;514;17;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.Code: java.util.Vector getActiveLocals()> $r2 = new Vector,$r2 (Code.getActiveLocals) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.python.compiler.Code: java.util.Vector getActiveLocals()>;org.python.compiler.Code;true;false;89;514;17;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)> $r8 = new Vector,$r8 (ScopeInfo.<init>) Value: new java.util.Vector);$r8 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;604721;76986;1025;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.PyCompoundCallable: void <init>()> $r1 = new Vector,$r1 (PyCompoundCallable.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.core.PyCompoundCallable: void <init>()>;org.python.core.PyCompoundCallable;false;false;1314896;47007;671;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.PyCompoundCallable: void <init>()> $r1 = new Vector,$r1 (PyCompoundCallable.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.core.PyCompoundCallable: void <init>()>;org.python.core.PyCompoundCallable;false;false;1314963;47007;671;4268;true;true;0;0;
