Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;IO;r0 @ specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>()>();specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>()>();<org.hsqldb.rowio.RowInputBinary: void <init>()>;org.hsqldb.rowio.RowInputBinary;false;true;8958;1968;8958;0;96;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;r0 @ specialinvoke r0.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>(r1, r2, r3, z0);specialinvoke r0.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>(r1, r2, r3, z0);<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>;org.hsqldb.rowio.RowInputTextQuoted;false;true;1946;43;1946;0;5;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;$r3 @ specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>(org.hsqldb.rowio.RowOutputBinary)>($r4);specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>(org.hsqldb.rowio.RowOutputBinary)>($r4);<org.hsqldb.HSQLClientConnection: void initStructures()>;org.hsqldb.HSQLClientConnection;false;true;3053;15718;3053;0;212;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>($r5, $r6);specialinvoke $r4.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>($r5, $r6);<org.hsqldb.lib.ZipUnzipFile: void decompressFile(java.lang.String,java.lang.String,org.hsqldb.lib.FileAccess)>;org.hsqldb.lib.ZipUnzipFile;false;false;200;152;31;169;5;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;$r7 @ specialinvoke $r7.<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>(r1, 8192);specialinvoke $r7.<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>(r1, 8192);<org.hsqldb.scriptio.ScriptReaderBinary: void openFile()>;org.hsqldb.scriptio.ScriptReaderBinary;false;true;2708;1464;2708;0;69;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>(r1);specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>(r1);<org.hsqldb.persist.ScaledRAFileInJar: void resetStream()>;org.hsqldb.persist.ScaledRAFileInJar;false;true;31143;1088;31143;0;38;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;$r1 @ specialinvoke $r1.<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r4, $r3, $r2, $z1);specialinvoke $r1.<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r4, $r3, $r2, $z1);<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;true;1514;42;1514;0;5;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;r0 @ specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1);specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1);<org.hsqldb.rowio.RowInputBase: void <init>()>;org.hsqldb.rowio.RowInputBase;false;true;2117;1969;2117;0;96;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.ObjectInputStream: void <init>(java.io.InputStream)>(r1);specialinvoke $r4.<java.io.ObjectInputStream: void <init>(java.io.InputStream)>(r1);<org.hsqldb.lib.InOutUtil: java.io.Serializable deserialize(byte[])>;org.hsqldb.lib.InOutUtil;false;false;246;1338;32;214;35;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;r0 @ specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r2);specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r2);<org.hsqldb.rowio.RowInputBinary: void <init>(org.hsqldb.rowio.RowOutputBinary)>;org.hsqldb.rowio.RowInputBinary;false;true;1911;15720;1911;0;213;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;r0 @ specialinvoke r0.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>(r1);specialinvoke r0.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>(r1);<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>;org.hsqldb.rowio.RowInputBase;false;true;6531;17116;6531;0;257;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;$r3 @ specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>()>();specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>()>();<org.hsqldb.scriptio.ScriptReaderBinary: void <init>(org.hsqldb.Database,java.lang.String)>;org.hsqldb.scriptio.ScriptReaderBinary;false;true;1897;1967;1897;0;96;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;$r3 @ specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,boolean)>;org.hsqldb.persist.ScaledRAFile;false;true;1662;850;1662;0;32;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
