Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/antlr/AntlrHarness, iterate(Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@17 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@46046c06;<dacapo.antlr.AntlrHarness: void iterate(java.lang.String)>;dacapo.antlr.AntlrHarness;false;false;830;0;0;0;0;2803;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5a97b17c;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;643;0;0;0;0;2803;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@20 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@9c73fff;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;588;0;0;0;0;2803;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lantlr/CSharpCodeGenerator, genBody(Lantlr/ParserGrammar,)V >:NEW <Application,Ljava/util/Vector>@1248 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@71cea1b8;<antlr.CSharpCodeGenerator: void genBody(antlr.ParserGrammar)>;antlr.CSharpCodeGenerator;false;false;403;0;0;0;0;2803;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lantlr/NameSpace, <init>(Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@659f226a;<antlr.NameSpace: void <init>(java.lang.String)>;antlr.NameSpace;false;false;420;0;0;0;0;2803;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lantlr/CSharpCodeGenerator, genBody(Lantlr/TreeWalkerGrammar,)V >:NEW <Application,Ljava/util/Vector>@650 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2e463f4;<antlr.CSharpCodeGenerator: void genBody(antlr.TreeWalkerGrammar)>;antlr.CSharpCodeGenerator;false;false;426;0;0;0;0;2803;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Stack>@30 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@32ec9c90;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;389;0;0;0;0;2803;0;
