Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;IO;$r1 @ $r1 = new java.io.PrintStream;$r1 = new java.io.PrintStream;<EDU.purdue.cs.bloat.cfg.FlowGraph: void printGraph()>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;true;400190;6869144;400190;0;819;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, out, lock, psOut];9323875872;
ideal-ap;IO;$r9 @ $r9 = new dacapo.TeePrintStream;$r9 = new dacapo.TeePrintStream;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;true;false;1236;859;250;986;27;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, out, lock, psOut];267910792;
ideal-ap;IO;$r21 @ specialinvoke $r21.<java.io.FileInputStream: void <init>(java.io.File)>(r104);specialinvoke $r21.<java.io.FileInputStream: void <init>(java.io.File)>(r104);<EDU.purdue.cs.bloat.file.ClassFileLoader: EDU.purdue.cs.bloat.reflect.ClassInfo loadClass(java.lang.String)>;EDU.purdue.cs.bloat.file.ClassFileLoader;false;true;45823;1642;45823;0;56;4467;r3[head, parent, next, prev, right, after, before, value, map];1153444192;
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>(r2);specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>(r2);<EDU.purdue.cs.bloat.file.ClassFileLoader: EDU.purdue.cs.bloat.reflect.ClassInfo loadClassFromStream(java.io.File,java.io.InputStream)>;EDU.purdue.cs.bloat.file.ClassFileLoader;false;false;269;1596;86;183;30;4467;r3[head, parent, next, prev, right, after, before, value, map];298424464;
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;true;212823;720;212823;0;32;4467;r3[head, parent, next, prev, right, after, before, value, map];500781624;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;134;194;22;112;9;4467;r3[head, parent, next, prev, right, after, before, value, map];296190664;
ideal-ap;IO;$r11 @ $r11 = new java.io.PrintWriter;$r11 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.trans.ValueFolding: void transform(EDU.purdue.cs.bloat.cfg.FlowGraph)>;EDU.purdue.cs.bloat.trans.ValueFolding;false;true;632247;7423375;632247;0;796;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];10005321952;
ideal-ap;IO;$r2 @ $r2 = new java.io.PrintWriter;$r2 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.cfg.FlowGraph: void printGraph(java.io.PrintStream)>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;true;383430;6871415;383430;0;811;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];9313782720;
ideal-ap;IO;$r47 @ specialinvoke $r47.<java.io.FileInputStream: void <init>(java.io.File)>(r99);specialinvoke $r47.<java.io.FileInputStream: void <init>(java.io.File)>(r99);<EDU.purdue.cs.bloat.file.ClassFileLoader: EDU.purdue.cs.bloat.reflect.ClassInfo loadClass(java.lang.String)>;EDU.purdue.cs.bloat.file.ClassFileLoader;false;true;601923;1726;601923;0;56;4467;r3[head, parent, next, prev, right, after, before, value, map];874952064;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>(r1);specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>(r1);<EDU.purdue.cs.bloat.file.ClassFileLoader: EDU.purdue.cs.bloat.reflect.ClassInfo loadClassFromFile(java.io.File)>;EDU.purdue.cs.bloat.file.ClassFileLoader;false;true;41067;1646;41067;0;56;4467;r3[head, parent, next, prev, right, after, before, value, map];1155969376;
ideal-ap;IO;$r19 @ $r19 = new java.io.PrintWriter;$r19 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.trans.ValueNumbering: void transform(EDU.purdue.cs.bloat.cfg.FlowGraph)>;EDU.purdue.cs.bloat.trans.ValueNumbering;false;true;650980;7008234;650980;0;1165;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];9964544168;
ideal-ap;IO;$r2 @ $r2 = new java.io.PrintWriter;$r2 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.file.ClassFile: void print(java.io.PrintStream)>;EDU.purdue.cs.bloat.file.ClassFile;false;true;601485;255;601485;0;12;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];468383440;
ideal-ap;IO;$r2 @ $r2 = new java.io.PrintWriter;$r2 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.tree.PrintVisitor: void <init>(java.io.Writer)>;EDU.purdue.cs.bloat.tree.PrintVisitor;false;true;121728;3429403;121728;0;797;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];4785099120;
ideal-ap;IO;$r4 @ $r4 = new java.io.PrintWriter;$r4 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.context.CachingBloatContext: java.lang.String toString()>;EDU.purdue.cs.bloat.context.CachingBloatContext;false;true;942;456;942;0;11;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];258473896;
ideal-ap;IO;$r13 @ $r13 = new java.io.PrintWriter;$r13 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.trans.ValueFolding: void transform(EDU.purdue.cs.bloat.cfg.FlowGraph)>;EDU.purdue.cs.bloat.trans.ValueFolding;false;true;822046;7488855;822046;0;803;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];9270650424;
ideal-ap;IO;$r2 @ $r2 = new java.io.PrintWriter;$r2 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.tree.PrintVisitor: void <init>(java.io.PrintStream)>;EDU.purdue.cs.bloat.tree.PrintVisitor;false;true;129579;3429407;129579;0;797;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];4374845264;
ideal-ap;IO;$r2 @ $r2 = new java.io.PrintWriter;$r2 = new java.io.PrintWriter;<dacapo.Benchmark: void enableValidationReport(java.lang.String)>;dacapo.Benchmark;false;false;433;1661;101;332;23;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];1879419480;
ideal-ap;IO;$r1 @ $r1 = new java.io.PrintWriter;$r1 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.trans.ValueNumbering: void <init>()>;EDU.purdue.cs.bloat.trans.ValueNumbering;false;true;605345;9030349;605345;0;1191;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];9484475976;
ideal-ap;IO;$r2 @ $r2 = new java.io.PrintWriter;$r2 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.cfg.FlowGraph: void print(java.io.PrintStream)>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;true;269380;6871389;269380;0;808;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];7155631792;
ideal-ap;IO;$r32 @ $r32 = new java.io.PrintWriter;$r32 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.trans.ValueNumbering: void transform(EDU.purdue.cs.bloat.cfg.FlowGraph)>;EDU.purdue.cs.bloat.trans.ValueNumbering;false;false;271481;182;270961;520;13;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];440713416;
ideal-ap;IO;$r22 @ $r22 = new java.io.PrintWriter;$r22 = new java.io.PrintWriter;<EDU.purdue.cs.bloat.trans.ValueNumbering: void transform(EDU.purdue.cs.bloat.cfg.FlowGraph)>;EDU.purdue.cs.bloat.trans.ValueNumbering;false;true;132381;3429254;132381;0;794;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, val$visitor, this$0, vn];4425413208;
