Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;IO;ForwardQuery: (org.hsqldb.persist.TextCache.initBuffers $r1.<init>($r4,$r3,$r2,$z1),$r1 (TextCache.initBuffers) Value: specialinvoke $r1.<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r4, $r3, $r2, $z1));<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;false;5;42;1;1;7;5923;
ideal;IO;ForwardQuery: (org.hsqldb.rowio.RowInputBinary.<init> r0.<init>(r1),r0 (RowInputBinary.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>(r1));<org.hsqldb.rowio.RowInputBinary: void <init>(byte[])>;org.hsqldb.rowio.RowInputBinary;false;false;9;150;3;3;9;5923;
ideal;IO;ForwardQuery: (org.hsqldb.persist.DataFileCache.initBuffers $r3.<init>($r4),$r3 (DataFileCache.initBuffers) Value: specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>(byte[])>($r4));<org.hsqldb.persist.DataFileCache: void initBuffers()>;org.hsqldb.persist.DataFileCache;false;false;8;149;3;3;8;5923;
ideal;IO;ForwardQuery: (org.hsqldb.scriptio.ScriptReaderText.openFile $r8.<init>(r1),$r8 (ScriptReaderText.openFile) Value: specialinvoke $r8.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>(r1));<org.hsqldb.scriptio.ScriptReaderText: void openFile()>;org.hsqldb.scriptio.ScriptReaderText;false;false;3797;24;3785;11;5;5923;
ideal;IO;ForwardQuery: (org.hsqldb.persist.ScaledRAFileInJar.resetStream $r5.<init>(r1),$r5 (ScaledRAFileInJar.resetStream) Value: specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>(r1));<org.hsqldb.persist.ScaledRAFileInJar: void resetStream()>;org.hsqldb.persist.ScaledRAFileInJar;false;false;646;1088;485;614;48;5923;
ideal;IO;ForwardQuery: (org.hsqldb.scriptio.ScriptReaderZipped.openFile $r7.<init>($r8,8192),$r7 (ScriptReaderZipped.openFile) Value: specialinvoke $r7.<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>($r8, 8192));<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;false;4209;2259;1591;4090;120;5923;
ideal;IO;ForwardQuery: (org.hsqldb.HSQLClientConnection.openConnection $r9.<init>($r11),$r9 (HSQLClientConnection.openConnection) Value: specialinvoke $r9.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r11));<org.hsqldb.HSQLClientConnection: void openConnection(java.lang.String,int,boolean)>;org.hsqldb.HSQLClientConnection;false;false;2802;10079;1358;1686;215;5923;
ideal;IO;ForwardQuery: (org.hsqldb.lib.HsqlByteArrayInputStream.<init> r0.<init>(),r0 (HsqlByteArrayInputStream.<init>) Value: specialinvoke r0.<java.io.InputStream: void <init>()>());<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>;org.hsqldb.lib.HsqlByteArrayInputStream;false;true;63064;17464;30872;58102;417;5923;
ideal;IO;ForwardQuery: (org.hsqldb.scriptio.ScriptReaderZipped.openFile $r8.<init>(r1,$r9),$r8 (ScriptReaderZipped.openFile) Value: specialinvoke $r8.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>(r1, $r9));<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;false;4529;2259;2067;4239;120;5923;
ideal;IO;ForwardQuery: (org.hsqldb.lib.InOutUtil.deserialize $r3.<init>(r0),$r3 (InOutUtil.deserialize) Value: specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>(r0));<org.hsqldb.lib.InOutUtil: java.io.Serializable deserialize(byte[])>;org.hsqldb.lib.InOutUtil;false;true;70349;5815;33690;59312;112;5923;
ideal;IO;ForwardQuery: (org.hsqldb.persist.ScaledRAFile.<init> $r3.<init>($r4),$r3 (ScaledRAFile.<init>) Value: specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4));<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,boolean)>;org.hsqldb.persist.ScaledRAFile;false;false;58;829;28;28;36;5923;
ideal;IO;ForwardQuery: (org.hsqldb.persist.LockFile.readHeartbeat $r14.<init>($r15),$r14 (LockFile.readHeartbeat) Value: specialinvoke $r14.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r15));<org.hsqldb.persist.LockFile: long readHeartbeat()>;org.hsqldb.persist.LockFile;false;false;48;221;40;6;52;5923;
