benchmark;ideal;fink;fink_apmust;seeds;timeouts_fink;timeouts_finkapmust;timeouts_ideal;errors_fink;errors_finkapmust;errors_ideal;index
antlr;2.6;9.2;0.6;2;0;0;1;0;0;0;1
bloat;0.2;5.4;7.6;3;0;0;0;1;1;1;2
chart;0.2;2.9;3.8;2;0;0;0;1;1;0;3
eclipse;1.9;18.3;17.0;17;0;8;9;11;2;1;4
fop;0.2;3.0;3.4;2;0;0;0;1;1;0;5
luindex;0.1;1.4;1.6;2;0;0;0;1;1;0;6
lusearch;0.1;1.3;1.5;2;0;0;0;1;1;0;7
pmd;0.2;9.6;7.9;2;0;0;0;1;1;0;8
xalan;0.4;1.3;1.4;2;0;0;0;1;1;0;9
