Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.ConjunctionScorer.init $r6.iterator(),r1 (ConjunctionScorer.init) Value: virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>());<org.apache.lucene.search.ConjunctionScorer: void init(boolean)>;org.apache.lucene.search.ConjunctionScorer;false;false;108;72;95;8;10;2492;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.MultiPhraseQuery.toString $r8.iterator(),r3 (MultiPhraseQuery.toString) Value: virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>());<org.apache.lucene.search.MultiPhraseQuery: java.lang.String toString(java.lang.String)>;org.apache.lucene.search.MultiPhraseQuery;false;false;146;96;133;9;9;2492;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.ConjunctionScorer.skipTo $r2.iterator(),r1 (ConjunctionScorer.skipTo) Value: virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>());<org.apache.lucene.search.ConjunctionScorer: boolean skipTo(int)>;org.apache.lucene.search.ConjunctionScorer;false;false;115;72;105;6;10;2492;
ideal;IteratorHasNext;ForwardQuery: (org.apache.lucene.search.ConjunctionScorer.score $r2.iterator(),r1 (ConjunctionScorer.score) Value: virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>());<org.apache.lucene.search.ConjunctionScorer: float score()>;org.apache.lucene.search.ConjunctionScorer;false;false;114;68;103;7;10;2492;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;true;false;634;71;477;157;4;2492;
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>();<org.apache.lucene.search.Similarity: float idf(java.util.Collection,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.Similarity;false;false;107;53;16;91;4;2492;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;true;false;350;410;261;89;4;2492;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue: void <init>(java.util.List)>;org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue;false;false;83;49;13;70;4;2492;
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: boolean skipTo(int)>;org.apache.lucene.search.ConjunctionScorer;false;false;104;67;16;88;4;2492;
ideal-ap;IteratorHasNext;r3 @ r3 = virtualinvoke $r6.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight: void <init>(org.apache.lucene.search.MultiPhraseQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight;false;false;94;60;14;80;4;2492;
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: float score()>;org.apache.lucene.search.ConjunctionScorer;false;true;60053;50;60053;0;4;2492;
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.BooleanScorer2: org.apache.lucene.search.Scorer countingConjunctionSumScorer(java.util.List)>;org.apache.lucene.search.BooleanScorer2;false;true;31054;50;31054;0;4;2492;
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: void init(boolean)>;org.apache.lucene.search.ConjunctionScorer;false;false;56;67;14;42;4;2492;
ideal-ap;IteratorHasNext;r3 @ r3 = virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery: java.lang.String toString(java.lang.String)>;org.apache.lucene.search.MultiPhraseQuery;false;false;83;82;16;67;4;2492;
ideal-ap;IteratorHasNext;r1 @ r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.DisjunctionSumScorer: void initScorerQueue()>;org.apache.lucene.search.DisjunctionSumScorer;false;true;62495;57;62495;0;4;2492;
ideal;IO;ForwardQuery: (dacapo.FileDigest.getBinary $r5.<init>(r0),$r5 (FileDigest.getBinary) Value: specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0));<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;2044;1057;655;53;64;2492;
ideal;IO;ForwardQuery: (dacapo.FileDigest.getBinary $r4.<init>($r5),$r4 (FileDigest.getBinary) Value: specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5));<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;114;214;95;15;15;2492;
ideal;IO;ForwardQuery: (dacapo.Benchmark.unpackZipStream $r8.<init>(r0),$r8 (Benchmark.unpackZipStream) Value: specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0));<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;1015;603;972;31;21;2492;
ideal;IO;ForwardQuery: (dacapo.Benchmark.unpackZipFileResource $r4.<init>($r5),$r4 (Benchmark.unpackZipFileResource) Value: specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5));<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;1915;1910;970;94;49;2492;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;true;60293;3263;60293;0;45;2492;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;176;194;31;145;9;2492;
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;true;60078;700;60078;0;26;2492;
ideal-ap;IO;$r8 @ specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;131;989;33;98;14;2492;
ideal;IO;ForwardQuery: (dacapo.TeePrintStream.<init> $r3.<init>(r1,r2),$r3 (TeePrintStream.<init>) Value: specialinvoke $r3.<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>(r1, r2));<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;false;163;73;95;42;11;2492;
ideal;IO;ForwardQuery: (dacapo.TeeOutputStream.<init> r0.<init>(r1),r0 (TeeOutputStream.<init>) Value: specialinvoke r0.<java.io.FilterOutputStream: void <init>(java.io.OutputStream)>(r1));<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeeOutputStream;false;false;85;88;43;40;13;2492;
ideal;IO;ForwardQuery: (dacapo.Benchmark.<init> $r9.<init>($r11,$r10),$r9 (Benchmark.<init>) Value: specialinvoke $r9.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r11, $r10));<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;54;124;33;20;22;2492;
ideal;IO;ForwardQuery: (dacapo.TeeOutputStream.newLog $r2.<init>($r3),$r2 (TeeOutputStream.newLog) Value: specialinvoke $r2.<java.io.FileOutputStream: void <init>(java.io.File)>($r3));<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;false;false;79;81;43;34;15;2492;
ideal;IO;ForwardQuery: (dacapo.TeePrintStream.<init> r0.<init>($r3),r0 (TeePrintStream.<init>) Value: specialinvoke r0.<java.io.PrintStream: void <init>(java.io.OutputStream)>($r3));<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;false;612;983;351;257;80;2492;
ideal;IO;ForwardQuery: (dacapo.Benchmark.<init> $r12.<init>($r14,$r13),$r12 (Benchmark.<init>) Value: specialinvoke $r12.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r14, $r13));<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;329;713;176;151;77;2492;
ideal;IO;ForwardQuery: (dacapo.Benchmark.unpackZipStream $r13.<init>(r5,2048),$r13 (Benchmark.unpackZipStream) Value: specialinvoke $r13.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream,int)>(r5, 2048));<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;137;170;108;18;11;2492;
ideal;IO;ForwardQuery: (dacapo.Benchmark.unpackZipStream $r12.<init>(r4),$r12 (Benchmark.unpackZipStream) Value: specialinvoke $r12.<java.io.FileOutputStream: void <init>(java.io.File)>(r4));<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;2089;973;792;20;61;2492;
ideal-ap;IO;$r9 @ specialinvoke $r9.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r11, $r10);<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;328;883;119;209;24;2492;
ideal-ap;IO;r0 @ specialinvoke r0.<java.io.FilterOutputStream: void <init>(java.io.OutputStream)>(r1);<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeeOutputStream;false;true;9561;1968;9561;0;39;2492;
ideal-ap;IO;r0 @ specialinvoke r0.<java.io.PrintStream: void <init>(java.io.OutputStream)>($r3);<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;false;147;1794;36;111;25;2492;
ideal-ap;IO;$r2 @ specialinvoke $r2.<java.io.FileOutputStream: void <init>(java.io.File)>($r3);<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;false;true;1493;2136;1493;0;46;2492;
ideal-ap;IO;$r12 @ specialinvoke $r12.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r14, $r13);<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;151;928;17;134;24;2492;
ideal-ap;IO;$r13 @ specialinvoke $r13.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream,int)>(r5, 2048);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;69;177;19;50;7;2492;
ideal-ap;IO;$r3 @ specialinvoke $r3.<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>(r1, r2);<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;true;1452;1963;1452;0;38;2492;
ideal-ap;IO;$r12 @ specialinvoke $r12.<java.io.FileOutputStream: void <init>(java.io.File)>(r4);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;true;60359;3353;60359;0;23;2492;
ideal;IO;ForwardQuery: (dacapo.Benchmark.<init> $r9 = new TeePrintStream,$r9 (Benchmark.<init>) Value: new dacapo.TeePrintStream);<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;150;60;86;41;11;2492;
ideal;IO;ForwardQuery: (dacapo.Benchmark.<init> $r12 = new TeePrintStream,$r12 (Benchmark.<init>) Value: new dacapo.TeePrintStream);<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;64;60;33;29;11;2492;
ideal-ap;IO;$r12 @ $r12 = new dacapo.TeePrintStream;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;true;false;511;1006;290;221;33;2492;
ideal-ap;IO;$r9 @ $r9 = new dacapo.TeePrintStream;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;true;false;249;961;129;120;33;2492;
ideal;IO;ForwardQuery: (dacapo.Benchmark.enableValidationReport $r2 = new PrintWriter,$r2 (Benchmark.enableValidationReport) Value: new java.io.PrintWriter);<dacapo.Benchmark: void enableValidationReport(java.lang.String)>;dacapo.Benchmark;false;false;439;486;265;146;51;2492;
ideal;IO;ForwardQuery: (dacapo.lusearch.LusearchHarness$QueryThread.<init> $r19 = new PrintWriter,$r19 (LusearchHarness$QueryThread.<init>) Value: new java.io.PrintWriter);<dacapo.lusearch.LusearchHarness$QueryThread: void <init>(dacapo.lusearch.LusearchHarness,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,boolean,dacapo.lusearch.LusearchHarness)>;dacapo.lusearch.LusearchHarness$QueryThread;false;false;3637;1361;3241;332;25;2492;
ideal-ap;IO;$r19 @ $r19 = new java.io.PrintWriter;<dacapo.lusearch.LusearchHarness$QueryThread: void <init>(dacapo.lusearch.LusearchHarness,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,boolean,dacapo.lusearch.LusearchHarness)>;dacapo.lusearch.LusearchHarness$QueryThread;false;false;601;1214;402;199;18;2492;
ideal-ap;IO;$r2 @ $r2 = new java.io.PrintWriter;<dacapo.Benchmark: void enableValidationReport(java.lang.String)>;dacapo.Benchmark;false;false;312;1821;165;147;32;2492;
