Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.util.ManifestElement.getArrayFromList $r5 = new Vector,$r5 (ManifestElement.getArrayFromList) Value: new java.util.Vector);<org.eclipse.osgi.util.ManifestElement: java.lang.String[] getArrayFromList(java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;45;147;31;9;14;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.BundleNativeCode.addPath $r4 = new BundleNativeCode$Attribute,$r4 (BundleNativeCode.addPath) Value: new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute);<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addPath(java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;false;75;367;38;22;27;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.PermissionAdminImpl.createProtectionDomain $r15 = new Vector,$r15 (PermissionAdminImpl.createProtectionDomain) Value: new java.util.Vector);<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;43;165;29;12;12;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.BundleNativeCode.addAttribute $r6 = new BundleNativeCode$Attribute,$r6 (BundleNativeCode.addAttribute) Value: new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute);<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;false;228;454;186;18;28;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.PermissionAdminImpl.getPermissionInfos $r7 = new Vector,$r7 (PermissionAdminImpl.getPermissionInfos) Value: new java.util.Vector);<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.osgi.service.permissionadmin.PermissionInfo[] getPermissionInfos(java.lang.String)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;45;150;32;11;13;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.BundleNativeCode.addAttribute $r11 = new BundleNativeCode$Attribute,$r11 (BundleNativeCode.addAttribute) Value: new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute);<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;31482;13785;30387;31265;669;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.AliasMapper.initAliases $r17 = new Vector,$r17 (AliasMapper.initAliases) Value: new java.util.Vector);<org.eclipse.osgi.framework.internal.core.AliasMapper: java.util.Hashtable initAliases(java.io.InputStream)>;org.eclipse.osgi.framework.internal.core.AliasMapper;false;false;125944;18635;103874;21677;716;3055;
ideal;EmptyVector;ForwardQuery: (org.eclipse.osgi.framework.internal.core.ConditionalPermissions.<init> $r9 = new Vector,$r9 (ConditionalPermissions.<init>) Value: new java.util.Vector);<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: void <init>(org.eclipse.osgi.framework.internal.core.AbstractBundle,org.osgi.service.condpermadmin.ConditionalPermissionAdmin)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;true;32436;14551;32435;0;214;3055;
ideal;EmptyVector;ForwardQuery: (dacapo.TestHarness.vectorise $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;71;240;53;14;14;3055;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;394;254;159;235;13;3055;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_and(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;147;146;32;115;10;3055;
ideal-ap;EmptyVector;$r6 @ $r6 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;43851;427;43851;0;20;3055;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: void <init>(org.eclipse.osgi.framework.internal.core.AbstractBundle,org.osgi.service.condpermadmin.ConditionalPermissionAdmin)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;true;11284;12203;11284;0;125;3055;
ideal-ap;EmptyVector;$r11 @ $r11 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;60045;468;60045;0;22;3055;
ideal-ap;EmptyVector;$r15 @ $r15 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;84;393;22;62;11;3055;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;false;false;386;1615;295;91;32;3055;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;<org.eclipse.core.runtime.adaptor.EclipseStarter: java.lang.String[] getArrayFromList(java.lang.String,java.lang.String)>;org.eclipse.core.runtime.adaptor.EclipseStarter;false;false;71;221;18;53;13;3055;
ideal-ap;EmptyVector;$r16 @ $r16 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;34312;442;34312;0;20;3055;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.PolicyHandler: java.lang.Object[] getArrayFromList(java.lang.String)>;org.eclipse.osgi.framework.internal.core.PolicyHandler;false;false;69;215;21;48;13;3055;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.osgi.service.permissionadmin.PermissionInfo[] getPermissionInfos(java.lang.String)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;75;337;17;58;12;3055;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection: void add(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection;false;true;60036;167;60036;0;11;3055;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.Object parse_substring()>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;true;false;77;549;23;54;12;3055;
ideal-ap;EmptyVector;$r24 @ $r24 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: boolean implies(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;false;78;253;24;54;10;3055;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_or(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;69;146;16;53;10;3055;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;<org.eclipse.osgi.util.ManifestElement: org.eclipse.osgi.util.ManifestElement[] parseHeader(java.lang.String,java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;108;1310;27;81;10;3055;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;92;560;32;60;13;3055;
ideal-ap;EmptyVector;$r17 @ $r17 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.AliasMapper: java.util.Hashtable initAliases(java.io.InputStream)>;org.eclipse.osgi.framework.internal.core.AliasMapper;false;true;60104;228;60104;0;13;3055;
ideal-ap;EmptyVector;$r9 @ $r9 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: void <init>(org.eclipse.osgi.framework.internal.core.AbstractBundle,org.osgi.service.condpermadmin.ConditionalPermissionAdmin)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;true;60178;12233;60178;0;121;3055;
