Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath
ideal;EmptyVector;ForwardQuery: (<init> $r5 = new Vector,$r5 (Module.<init>) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.python.compiler.Module: void <init>(java.lang.String,java.lang.String,boolean)>;org.python.compiler.Module;false;true;30120;9836;1909;4247;true;true;
ideal;EmptyVector;ForwardQuery: (init $r1 = new Vector,$r1 (BytecodeLoader.init) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.core.BytecodeLoader: java.util.Vector init()>;org.python.core.BytecodeLoader;false;true;30218;12690;1105;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r13 = new Stack,$r13 (CodeCompiler.<init>) Value: new java.util.Stack);$r13 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;30004;7909;335;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r3 = new Vector,$r3 (ArgListCompiler.<init>) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;30020;8596;1293;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r2 = new Vector,$r2 (LineNumberTable.<init>) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.python.compiler.LineNumberTable: void <init>(org.python.compiler.ConstantPool)>;org.python.compiler.LineNumberTable;false;true;30030;1509;1466;4247;true;false;
ideal;EmptyVector;ForwardQuery: (<init> $r7 = new Vector,$r7 (ClassFile.<init>) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;30081;2349;1577;4247;true;true;
ideal;EmptyVector;ForwardQuery: (getAccessibleFields $r1 = new Vector,$r1 (PyJavaClass.getAccessibleFields) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.reflect.Field[] getAccessibleFields(java.lang.Class)>;org.python.core.PyJavaClass;false;false;36;120;13;4247;true;false;
ideal;EmptyVector;ForwardQuery: (<init> $r8 = new Vector,$r8 (ClassFile.<init>) Value: new java.util.Vector);$r8 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;30224;2351;1609;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r2 = new Vector,$r2 (CodeCompiler.<init>) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;41007;8277;337;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r1 = new Vector,$r1 (ArgListCompiler.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;30176;9128;1893;4247;true;true;
ideal;EmptyVector;ForwardQuery: (cook $r5 = new Vector,$r5 (ScopeInfo.cook) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void cook(org.python.compiler.ScopeInfo,org.python.compiler.CompilationContext)>;org.python.compiler.ScopeInfo;true;false;89;335;14;4247;true;false;
ideal;EmptyVector;ForwardQuery: (<init> $r11 = new Stack,$r11 (CodeCompiler.<init>) Value: new java.util.Stack);$r11 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;30043;8741;337;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r6 = new Vector,$r6 (PythonGrammar.<init>) Value: new java.util.Vector);$r6 = new java.util.Vector;<org.python.parser.PythonGrammar: void <init>(org.python.parser.CharStream)>;org.python.parser.PythonGrammar;true;true;33806;9360;286;4247;true;true;
ideal;EmptyVector;ForwardQuery: (getActiveLocals $r2 = new Vector,$r2 (Code.getActiveLocals) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.python.compiler.Code: java.util.Vector getActiveLocals()>;org.python.compiler.Code;true;false;65;250;17;4247;true;false;
ideal;EmptyVector;ForwardQuery: (<init> $r1 = new Stack,$r1 (JJTPythonGrammarState.<init>) Value: new java.util.Stack);$r1 = new java.util.Stack;<org.python.parser.JJTPythonGrammarState: void <init>()>;org.python.parser.JJTPythonGrammarState;false;true;30013;18445;316;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r5 = new Vector,$r5 (ScopeInfo.<init>) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;30118;2940;1468;4247;true;true;
ideal;EmptyVector;ForwardQuery: (<init> $r12 = new Stack,$r12 (CodeCompiler.<init>) Value: new java.util.Stack);$r12 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;30109;8596;337;4247;true;true;
