Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.CodeCompiler.<init> $r13 = new Stack,$r13 (CodeCompiler.<init>) Value: new java.util.Stack);<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;30026;16819;30015;0;1189;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.ArgListCompiler.<init> $r3 = new Vector,$r3 (ArgListCompiler.<init>) Value: new java.util.Vector);<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;30070;14697;30063;0;1167;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.ArgListCompiler.<init> $r1 = new Vector,$r1 (ArgListCompiler.<init>) Value: new java.util.Vector);<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;30022;14710;30015;0;1142;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.CodeCompiler.<init> $r11 = new Stack,$r11 (CodeCompiler.<init>) Value: new java.util.Stack);<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;30009;14657;30001;0;1207;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.CodeCompiler.<init> $r12 = new Stack,$r12 (CodeCompiler.<init>) Value: new java.util.Stack);<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;30008;14689;30001;0;1130;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.ScopeInfo.<init> $r8 = new Vector,$r8 (ScopeInfo.<init>) Value: new java.util.Vector);<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;44813;17998;44800;0;1122;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.Code.getActiveLocals $r2 = new Vector,$r2 (Code.getActiveLocals) Value: new java.util.Vector);<org.python.compiler.Code: java.util.Vector getActiveLocals()>;org.python.compiler.Code;true;false;63;250;46;10;17;4247;
ideal;EmptyVector;ForwardQuery: (org.python.core.MakeProxies.makeClass $r4 = new Vector,$r4 (MakeProxies.makeClass) Value: new java.util.Vector);<org.python.core.MakeProxies: java.lang.Class makeClass(java.lang.Class,java.util.Vector,java.lang.String,java.io.ByteArrayOutputStream)>;org.python.core.MakeProxies;false;false;45;129;28;8;15;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.ClassFile.<init> $r8 = new Vector,$r8 (ClassFile.<init>) Value: new java.util.Vector);<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;30047;17645;30033;0;1109;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.CodeCompiler.<init> $r14 = new Stack,$r14 (CodeCompiler.<init>) Value: new java.util.Stack);<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;30009;14561;30004;0;793;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.LineNumberTable.<init> $r2 = new Vector,$r2 (LineNumberTable.<init>) Value: new java.util.Vector);<org.python.compiler.LineNumberTable: void <init>(org.python.compiler.ConstantPool)>;org.python.compiler.LineNumberTable;false;false;52;153;22;36;16;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.ClassFile.<init> $r9 = new Vector,$r9 (ClassFile.<init>) Value: new java.util.Vector);<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;39780;15325;39765;0;1046;4247;
ideal;EmptyVector;ForwardQuery: (org.python.core.ThreadState.pushInitializingProxy $r5 = new Stack,$r5 (ThreadState.pushInitializingProxy) Value: new java.util.Stack);<org.python.core.ThreadState: void pushInitializingProxy(org.python.core.PyInstance)>;org.python.core.ThreadState;true;false;74;239;40;37;24;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.ScopeInfo.<init> $r5 = new Vector,$r5 (ScopeInfo.<init>) Value: new java.util.Vector);<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;75956;14818;75946;0;1028;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.Module.<init> $r5 = new Vector,$r5 (Module.<init>) Value: new java.util.Vector);<org.python.compiler.Module: void <init>(java.lang.String,java.lang.String,boolean)>;org.python.compiler.Module;false;true;38895;16648;38886;0;1133;4247;
ideal;EmptyVector;ForwardQuery: (dacapo.TestHarness.vectorise $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;55;240;41;12;14;4247;
ideal;EmptyVector;ForwardQuery: (org.python.compiler.Code.<init> $r9 = new Vector,$r9 (Code.<init>) Value: new java.util.Vector);<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;30045;26192;30033;0;949;4247;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;<org.python.core.PyCompoundCallable: void <init>()>;org.python.core.PyCompoundCallable;false;true;33432;1493059;33432;0;1657;4247;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;31027;2455367;31027;0;800;4247;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.Class[] getAccessibleInterfaces(java.lang.Class)>;org.python.core.PyJavaClass;false;false;316;211;126;190;12;4247;
ideal-ap;EmptyVector;$r8 @ $r8 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;35496;2356476;35496;0;831;4247;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void cook(org.python.compiler.ScopeInfo,org.python.compiler.CompilationContext)>;org.python.compiler.ScopeInfo;true;false;215;1919;46;169;13;4247;
ideal-ap;EmptyVector;$r13 @ $r13 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;31022;2447474;31022;0;789;4247;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;31023;2197509;31023;0;831;4247;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<org.python.core.MakeProxies: java.lang.Class makeClass(java.lang.Class,java.util.Vector,java.lang.String,java.io.ByteArrayOutputStream)>;org.python.core.MakeProxies;false;false;131;149;26;105;14;4247;
ideal-ap;EmptyVector;$r9 @ $r9 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;31026;2250856;31026;0;831;4247;
ideal-ap;EmptyVector;$r10 @ $r10 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;31025;2215934;31025;0;868;4247;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;141;254;24;117;13;4247;
ideal-ap;EmptyVector;$r12 @ $r12 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;31020;2312767;31020;0;789;4247;
ideal-ap;EmptyVector;$r11 @ $r11 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;true;60047;210;60047;0;13;4247;
ideal-ap;EmptyVector;$r11 @ $r11 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;31022;2237200;31022;0;789;4247;
ideal-ap;EmptyVector;$r9 @ $r9 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;34379;2360437;34379;0;868;4247;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;<org.python.compiler.Module: void <init>(java.lang.String,java.lang.String,boolean)>;org.python.compiler.Module;false;true;39181;2712330;39181;0;809;4247;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Stack;<org.python.compiler.ScopesCompiler: void <init>(org.python.compiler.CompilationContext,java.util.Hashtable)>;org.python.compiler.ScopesCompiler;false;true;31019;2741169;31019;0;789;4247;
ideal-ap;EmptyVector;$r9 @ $r9 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;31026;2535246;31026;0;788;4247;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;31022;1646376;31022;0;799;4247;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;<org.python.compiler.Code: java.util.Vector getActiveLocals()>;org.python.compiler.Code;false;false;140;542;26;114;16;4247;
