Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath
ideal;EmptyVector;ForwardQuery: (<init> $r2 = new Vector,$r2 (NameSpace.<init>) Value: new java.util.Vector);$r2 = new java.util.Vector;<antlr.NameSpace: void <init>(java.lang.String)>;antlr.NameSpace;false;true;647599;18437;329;2007;true;true;
ideal;EmptyVector;ForwardQuery: (iterate $r6 = new Vector,$r6 (AntlrHarness.iterate) Value: new java.util.Vector);$r6 = new java.util.Vector;<dacapo.antlr.AntlrHarness: void iterate(java.lang.String)>;dacapo.antlr.AntlrHarness;false;false;1771;231;13;2007;true;false;
